Name,Age,GPA,Credits Completed,Year,Pathway
"Jessica ,Tarken",14,1.82,49,Junior,Engineering
"Mohammed,Seeman",17,4.16,17,Sophmore,Pedophile
"Mohammed,Kurtis",15,0.23,26,Junior,Engineering
"Ben ,Dover",15,0.62,34,Senior,Marketing
"William,Tarken",19,3.73,37,Senior,culinary
"Jerome ,Dover",15,1.55,1,Sophmore,criminal justice
"Joe,Emma",15,3.78,16,Junior,Marketing
"David,Tarken",15,0.42,54,Sophmore,Bio med
"Christopher,Alakas",18,3.77,44,Sophmore,Bio med
"Ben ,Kurtis",19,0.87,56,Sophmore,Early childhood Education
"Thomas,Anderson",15,0.02,7,Senior,Math
"Thomas,Alakas",15,2.28,43,Freshman,Buisness
"Mohammed,Smith",16,0.25,25,Freshman,culinary
"Christopher,Anderson",18,3.5,17,Senior,Marketing
"Christopher,Kurtis",14,4.29,36,Senior,Early College
"Robert,Tarken",17,0.74,14,Junior,Marketing
"Richard,Seeman",15,2.04,52,Sophmore,Music
"Joe,Emma",15,1.6,29,Freshman,Computer Science
"William,Emma",16,0.78,3,Sophmore,Athletics
"Hugh ,Tarken",15,2.19,47,Sophmore,Pedophile
"John ,Emma",15,2.22,53,Freshman,Early childhood Education
"Jessica ,Tarken",14,1.3,14,Freshman,Music
"Mac,Dirkas",16,3.17,28,Senior,Math
"Jessica ,Seeman",15,2.16,15,Sophmore,Early childhood Education
"Hugh ,Seeman",16,3.5,1,Junior,culinary
"Robert,Seeman",18,3.49,41,Sophmore,Early childhood Education
"Jerome ,Emma",15,0.29,35,Junior,Marketing
"David,Dover",15,4.37,26,Sophmore,Pervert
"Hugh ,Tarken",19,4.36,43,Senior,Marketing
"Robert,Alakas",18,0.75,48,Senior,Computer Science
"Hugh ,Dover",14,4.2,48,Sophmore,Early childhood Education
"William,Kurtis",19,2.94,16,Senior,Music
"James ,Smith",14,2.92,36,Freshman,Early College
"Carman ,Smith",17,0.12,18,Junior,Pedophile
"James ,Tarken",14,2.79,42,Freshman,Computer Science
"Carman ,Kurtis",18,3.15,23,Sophmore,Math
"William,Anderson",15,0.04,36,Junior,Pedophile
"Christopher,Smith",14,0.18,6,Sophmore,Music
"John ,Emma",19,4.37,37,Junior,Buisness
"Carman ,Tarken",16,2.56,12,Freshman,Early childhood Education
"Jerome ,Smith",15,3.5,57,Senior,Bio med
"James ,Smith",16,1.36,58,Senior,Math
"Hugh ,Kurtis",18,4.21,14,Senior,Marketing
"Thomas,Emma",16,2.39,59,Sophmore,Early childhood Education
"David,Kurtis",17,1.9,30,Sophmore,Early College
"William,Anderson",18,3.9,47,Sophmore,Bio med
"Carman ,Kurtis",15,0.17,15,Senior,Music
"Hugh ,Smith",14,2.7,38,Sophmore,Athletics
"Mohammed,Alakas",15,2.36,30,Freshman,Buisness
"Ben ,Alakas",16,0.14,37,Senior,Math
"Mac,Anderson",18,2.31,58,Senior,Buisness
"Thomas,Kurtis",19,2.44,18,Freshman,Pervert
"Mac,Alakas",19,0.31,12,Sophmore,Buisness
"Mohammed,Kurtis",18,4.04,13,Freshman,Early childhood Education
"James ,Janus",17,3.82,59,Senior,Bio med
"Joe,Seeman",19,0.83,31,Freshman,Music
"Joe,Emma",14,3.95,40,Senior,culinary
"Mary ,Alakas",17,1.8,20,Junior,Athletics
"Hugh ,Smith",15,0.04,33,Freshman,Pedophile
"Mary ,Seeman",16,4.03,53,Junior,Math
"Jerome ,Dirkas",19,4.09,27,Freshman,Pervert
"Christopher,Kurtis",14,3.37,54,Sophmore,culinary
"Mohammed,Janus",14,1.09,46,Sophmore,Early childhood Education
"Ben ,Emma",15,0.36,29,Junior,Early childhood Education
"Hugh ,Dover",16,4.08,44,Freshman,Engineering
"Hugh ,Kurtis",18,0.88,60,Freshman,Computer Science
"David,Anderson",14,2.31,41,Sophmore,Computer Science
"Ben ,Dirkas",17,0.42,38,Freshman,Math
"Jerome ,Anderson",15,2.72,21,Sophmore,Music
"Robert,Dover",18,3.6,35,Senior,Athletics
"Mary ,Anderson",14,0.98,41,Freshman,Pervert
"Robert,Tarken",18,0.85,17,Freshman,Computer Science
"Hugh ,Anderson",19,3.79,48,Senior,Pervert
"Thomas,Anderson",15,0.29,24,Junior,Math
"Mac,Emma",18,3.46,48,Senior,Engineering
"Robert,Seeman",19,2.09,32,Freshman,criminal justice
"Richard,Anderson",18,0.27,27,Junior,Computer Science
"Richard,Dover",14,2.31,11,Junior,Engineering
"Mary ,Anderson",17,0.0,48,Senior,culinary
"William,Emma",14,1.71,9,Junior,criminal justice
"Richard,Janus",17,3.14,33,Senior,Engineering
"Richard,Emma",16,2.75,36,Junior,Early childhood Education
"Mohammed,Seeman",18,4.25,49,Freshman,Engineering
"Christopher,Alakas",17,2.44,24,Sophmore,Bio med
"Robert,Dover",15,1.44,25,Junior,culinary
"Joe,Alakas",17,4.26,41,Junior,Athletics
"Christopher,Dover",17,1.65,36,Senior,Engineering
"John ,Seeman",15,0.03,34,Senior,Pedophile
"Carman ,Seeman",15,1.13,23,Freshman,Music
"Hugh ,Janus",16,1.52,31,Sophmore,Athletics
"Jessica ,Seeman",18,0.59,55,Sophmore,Marketing
"Jerome ,Tarken",14,2.83,28,Freshman,Engineering
"Jerome ,Dirkas",16,3.16,55,Junior,Athletics
"Carman ,Dirkas",19,3.61,23,Junior,Pedophile
"Jessica ,Janus",14,1.39,28,Senior,Buisness
"Joe,Seeman",16,3.93,21,Freshman,Pedophile
"David,Alakas",15,4.13,11,Junior,Computer Science
"Jessica ,Dirkas",15,0.12,31,Senior,Engineering
"Carman ,Smith",17,4.42,15,Freshman,Computer Science
"Ben ,Smith",15,1.0,42,Junior,Computer Science
"Hugh ,Smith",16,1.85,14,Junior,Pervert
"Jerome ,Emma",19,2.32,12,Junior,Athletics
"Mac,Kurtis",17,1.0,58,Junior,culinary
"Mary ,Dirkas",15,2.94,1,Freshman,Computer Science
"Joe,Seeman",19,0.13,49,Freshman,Engineering
"Robert,Dover",14,4.48,56,Freshman,Buisness
"Carman ,Janus",17,0.51,25,Junior,Athletics
"Joe,Janus",19,3.27,58,Junior,Bio med
"Mac,Dover",19,1.53,25,Senior,Music
"Joe,Dirkas",16,1.99,45,Freshman,culinary
"Hugh ,Anderson",14,0.8,51,Freshman,culinary
"Robert,Dover",16,2.26,48,Junior,Athletics
"Thomas,Tarken",17,3.57,45,Sophmore,Pedophile
"Christopher,Seeman",16,0.63,20,Junior,Pedophile
"Robert,Tarken",16,4.25,13,Senior,Music
"John ,Dover",16,2.15,60,Senior,Computer Science
"Carman ,Tarken",19,2.05,7,Sophmore,Buisness
"Mac,Dover",15,0.34,24,Sophmore,Athletics
"Ben ,Anderson",14,1.82,8,Sophmore,Athletics
"Mohammed,Dover",14,0.96,50,Freshman,Bio med
"Carman ,Emma",18,4.07,10,Sophmore,Computer Science
"William,Anderson",14,1.54,48,Senior,Engineering
"Thomas,Anderson",18,0.15,15,Sophmore,Pervert
"Jessica ,Alakas",18,1.52,41,Sophmore,criminal justice
"Mary ,Seeman",15,4.23,40,Junior,criminal justice
"William,Alakas",14,4.41,35,Sophmore,Engineering
"John ,Tarken",14,1.31,26,Sophmore,Early College
"John ,Anderson",14,4.34,17,Sophmore,Marketing
"Mary ,Smith",19,2.32,37,Junior,Engineering
"Joe,Dover",15,0.64,28,Senior,Music
"Robert,Dirkas",18,2.0,35,Junior,Early childhood Education
"Mohammed,Seeman",15,0.97,0,Senior,Pervert
"Richard,Emma",15,1.22,19,Junior,Pedophile
"Ben ,Emma",14,3.71,22,Freshman,Early College
"Mohammed,Kurtis",19,3.16,37,Sophmore,Music
"Jessica ,Janus",15,0.22,39,Senior,Buisness
"Mac,Seeman",18,0.06,53,Senior,Early College
"Joe,Emma",14,3.95,14,Sophmore,Early childhood Education
"Thomas,Dover",16,1.49,50,Sophmore,Early College
"Carman ,Seeman",16,2.56,47,Junior,Athletics
"Hugh ,Smith",15,2.25,54,Sophmore,Early College
"Robert,Alakas",18,3.97,12,Freshman,Computer Science
"Jerome ,Janus",17,4.18,25,Sophmore,Pedophile
"Thomas,Alakas",19,3.74,3,Sophmore,Computer Science
"Ben ,Smith",14,0.99,36,Sophmore,Pedophile
"James ,Kurtis",14,2.7,39,Junior,Pervert
"Mac,Dirkas",18,1.21,50,Junior,Athletics
"Mac,Anderson",14,0.39,12,Freshman,Marketing
"Mohammed,Tarken",16,1.63,32,Sophmore,criminal justice
"Carman ,Anderson",17,3.69,51,Freshman,criminal justice
"Robert,Alakas",14,3.1,39,Junior,Computer Science
"Thomas,Kurtis",18,2.84,37,Junior,Buisness
"William,Emma",17,3.06,12,Junior,Computer Science
"Joe,Dover",17,0.57,16,Senior,Early childhood Education
"John ,Dover",19,2.66,12,Junior,Math
"Thomas,Tarken",15,2.84,18,Sophmore,Pervert
"Jessica ,Seeman",19,1.22,1,Freshman,culinary
"Carman ,Anderson",15,3.93,39,Sophmore,Athletics
"William,Smith",17,3.38,14,Freshman,Marketing
"Christopher,Smith",17,1.03,2,Junior,Music
"Jessica ,Smith",14,2.4,40,Junior,Pervert
"Joe,Janus",14,0.63,17,Junior,Computer Science
"Jessica ,Kurtis",15,1.98,29,Freshman,criminal justice
"Ben ,Janus",15,3.02,19,Junior,culinary
"Thomas,Kurtis",15,4.46,57,Sophmore,Math
"David,Dover",19,3.86,53,Senior,Early childhood Education
"Richard,Janus",17,0.44,17,Senior,Engineering
"Robert,Dover",16,4.18,58,Sophmore,Pervert
"Jessica ,Dover",18,1.22,36,Sophmore,culinary
"Mac,Alakas",15,2.83,35,Junior,Engineering
"Thomas,Anderson",15,1.83,5,Senior,Athletics
"Robert,Alakas",15,2.02,18,Junior,Athletics
"Mac,Dirkas",16,3.69,31,Freshman,criminal justice
"Jessica ,Dirkas",15,2.05,45,Freshman,Music
"James ,Anderson",17,3.65,32,Senior,Music
"Jerome ,Anderson",16,0.14,0,Freshman,Engineering
"Ben ,Alakas",14,1.61,53,Freshman,Computer Science
"Joe,Smith",17,3.44,7,Freshman,Pedophile
"Robert,Dirkas",14,2.49,2,Junior,Buisness
"Christopher,Anderson",14,0.97,9,Senior,Pedophile
"David,Kurtis",17,3.96,49,Junior,Music
"Richard,Kurtis",14,1.89,11,Junior,Early childhood Education
"Mac,Seeman",19,3.73,5,Junior,Music
"Jessica ,Seeman",17,3.12,35,Sophmore,culinary
"James ,Dirkas",18,2.5,2,Junior,culinary
"Mary ,Dirkas",14,2.09,10,Junior,Pervert
"Carman ,Seeman",16,0.2,32,Freshman,Computer Science
"David,Anderson",14,2.44,58,Senior,criminal justice
"Carman ,Dirkas",16,2.23,16,Sophmore,Pedophile
"Mary ,Emma",19,3.35,47,Freshman,Pedophile
"Mary ,Janus",15,2.77,58,Freshman,Engineering
"Carman ,Alakas",15,1.84,30,Junior,criminal justice
"William,Dover",17,1.28,36,Senior,Pervert
"Jerome ,Janus",19,2.2,24,Freshman,Pedophile
"Hugh ,Tarken",19,0.24,21,Junior,criminal justice
"William,Tarken",17,1.15,6,Senior,Early childhood Education
"Thomas,Kurtis",15,1.16,53,Senior,culinary
"Carman ,Kurtis",19,2.11,26,Sophmore,Computer Science
"William,Kurtis",17,0.58,19,Sophmore,Computer Science
"Mohammed,Smith",15,3.45,47,Junior,Engineering
"Jerome ,Alakas",16,2.74,9,Senior,Math
"Thomas,Dover",19,0.53,44,Sophmore,Pervert
"John ,Kurtis",18,1.83,43,Senior,Athletics
"Jessica ,Smith",14,2.95,6,Freshman,criminal justice
"William,Janus",15,2.07,7,Junior,Pervert
"Hugh ,Smith",18,0.2,26,Senior,Pedophile
"Mac,Kurtis",18,2.13,22,Junior,Pedophile
"Mohammed,Dover",17,0.5,43,Freshman,Computer Science
"Ben ,Kurtis",15,1.03,56,Junior,Bio med
"David,Tarken",18,3.14,19,Freshman,Early College
"Thomas,Alakas",14,0.87,40,Sophmore,Computer Science
"Hugh ,Dover",17,2.26,37,Senior,Marketing
"Carman ,Kurtis",18,1.69,11,Junior,Early College
"Thomas,Smith",17,2.71,45,Sophmore,Math
"James ,Kurtis",18,3.71,47,Sophmore,Marketing
"James ,Smith",14,4.34,11,Senior,Engineering
"Mac,Alakas",14,2.61,23,Senior,Buisness
"Hugh ,Dirkas",18,0.12,60,Sophmore,Music
"Hugh ,Smith",16,1.53,19,Sophmore,criminal justice
"Jerome ,Anderson",16,0.08,23,Senior,Math
"Joe,Emma",18,0.26,7,Senior,Pervert
"Mohammed,Tarken",17,3.1,32,Senior,Early College
"Richard,Tarken",16,1.9,22,Sophmore,Pedophile
"Thomas,Tarken",18,3.41,25,Freshman,Music
"Joe,Dover",15,4.02,35,Freshman,Athletics
"Mac,Smith",18,1.58,14,Junior,culinary
"Christopher,Dover",14,3.61,40,Sophmore,Pedophile
"William,Alakas",18,4.06,31,Senior,Music
"Jerome ,Janus",17,0.52,40,Junior,Buisness
"Ben ,Emma",15,0.66,48,Senior,Early childhood Education
"Jerome ,Smith",19,3.84,6,Sophmore,Bio med
"William,Emma",19,0.28,7,Freshman,Bio med
"James ,Tarken",17,2.88,23,Junior,Marketing
"John ,Dirkas",19,1.99,43,Senior,criminal justice
"Hugh ,Dirkas",14,0.02,11,Senior,Computer Science
"John ,Janus",19,4.45,12,Sophmore,Buisness
"Carman ,Tarken",16,0.19,4,Sophmore,Music
"David,Alakas",14,1.65,43,Junior,Early College
"Ben ,Janus",18,4.46,32,Freshman,Early childhood Education
"Jessica ,Anderson",19,0.53,22,Senior,Math
"David,Alakas",17,4.19,6,Senior,Early childhood Education
"Ben ,Dover",14,3.82,4,Sophmore,Engineering
"James ,Dover",17,2.21,38,Freshman,Early childhood Education
"John ,Kurtis",19,2.88,50,Freshman,Athletics
"Carman ,Anderson",14,1.24,56,Freshman,Engineering
"Joe,Janus",19,4.47,60,Sophmore,culinary
"Joe,Seeman",15,2.54,13,Senior,Engineering
"Joe,Dirkas",19,1.0,18,Junior,Engineering
"Mohammed,Seeman",17,0.8,48,Junior,Math
"David,Dirkas",15,2.97,10,Senior,Buisness
"David,Tarken",17,3.67,19,Sophmore,criminal justice
"David,Alakas",16,1.53,55,Senior,Athletics
"John ,Janus",18,3.31,4,Junior,Early childhood Education
"Jerome ,Seeman",17,2.24,55,Senior,Early College
"Christopher,Dover",14,0.82,16,Junior,Pedophile
"Mohammed,Anderson",19,2.65,49,Freshman,Buisness
"Joe,Smith",16,0.08,1,Junior,Early College
"Carman ,Janus",17,3.43,37,Sophmore,Early College
"Christopher,Dover",18,4.47,6,Freshman,Bio med
"Thomas,Tarken",16,0.61,26,Senior,Pedophile
"John ,Alakas",19,0.59,14,Senior,Pervert
"James ,Dover",16,1.66,36,Sophmore,Math
"Carman ,Tarken",18,2.53,53,Freshman,Marketing
"Mohammed,Anderson",14,2.79,36,Senior,Pervert
"Richard,Seeman",14,2.27,16,Senior,Pervert
"Joe,Janus",19,2.51,3,Freshman,Computer Science
"Hugh ,Seeman",18,0.41,28,Junior,Math
"Robert,Anderson",19,1.81,40,Freshman,Bio med
"Christopher,Emma",19,3.02,0,Sophmore,Buisness
"Hugh ,Kurtis",16,0.44,2,Sophmore,culinary
"James ,Kurtis",17,2.32,16,Freshman,Math
"Mac,Dover",19,1.65,51,Senior,criminal justice
"Carman ,Alakas",16,3.4,15,Senior,Athletics
"William,Alakas",18,1.91,37,Sophmore,Buisness
"Jerome ,Kurtis",14,3.96,24,Senior,Math
"John ,Seeman",15,0.11,42,Junior,Marketing
"Thomas,Smith",18,3.0,20,Junior,Athletics
"David,Seeman",18,3.34,0,Freshman,Math
"Robert,Emma",15,0.14,54,Freshman,culinary
"Robert,Alakas",15,1.9,27,Junior,criminal justice
"Joe,Anderson",19,2.21,0,Freshman,Pervert
"Jessica ,Kurtis",18,0.2,35,Freshman,criminal justice
"Mary ,Seeman",18,1.9,45,Sophmore,Pervert
"Hugh ,Janus",17,0.1,15,Senior,Music
"Mac,Smith",16,1.97,37,Junior,Bio med
"Carman ,Emma",16,0.57,54,Sophmore,culinary
"David,Janus",18,0.26,4,Freshman,criminal justice
"Jerome ,Janus",18,3.08,25,Freshman,Early childhood Education
"John ,Tarken",17,4.29,25,Junior,Buisness
"Carman ,Smith",15,3.32,17,Junior,Pervert
"Ben ,Smith",17,0.98,1,Junior,Computer Science
"Robert,Anderson",16,3.12,58,Junior,culinary
"Mary ,Anderson",18,2.32,52,Senior,Engineering
"Hugh ,Dirkas",17,0.3,11,Freshman,Early College
"Thomas,Smith",14,0.99,14,Junior,Buisness
"Thomas,Dirkas",16,4.14,42,Freshman,criminal justice
"Christopher,Smith",16,3.85,54,Junior,Pedophile
"James ,Seeman",17,1.82,47,Senior,Early childhood Education
"Mary ,Janus",15,1.76,1,Junior,Pedophile
"John ,Kurtis",15,3.05,1,Junior,Music
"Mac,Alakas",14,2.9,15,Junior,Computer Science
"James ,Kurtis",15,2.13,10,Sophmore,Pedophile
"Hugh ,Anderson",14,3.73,52,Freshman,Music
"David,Kurtis",19,2.53,2,Freshman,Engineering
"James ,Anderson",14,1.78,52,Freshman,Early College
"Robert,Kurtis",17,2.18,34,Junior,Music
"Jessica ,Seeman",14,2.6,54,Junior,Music
"Mac,Kurtis",18,1.24,18,Junior,Buisness
"Jerome ,Dirkas",17,3.67,59,Sophmore,Math
"Thomas,Kurtis",16,2.21,49,Sophmore,Pedophile
"William,Kurtis",14,3.98,60,Sophmore,Pedophile
"Carman ,Anderson",16,0.3,48,Sophmore,Computer Science
"Mohammed,Anderson",17,0.61,45,Junior,Pervert
"William,Kurtis",16,3.69,20,Freshman,Engineering
"Richard,Dirkas",15,1.79,34,Sophmore,Early College
"Mohammed,Seeman",14,0.86,28,Sophmore,Athletics
"Christopher,Dirkas",17,1.38,28,Freshman,Math
"John ,Alakas",18,1.19,35,Sophmore,Engineering
"Jessica ,Janus",18,0.84,7,Sophmore,culinary
"Christopher,Smith",14,0.74,56,Senior,criminal justice
"James ,Tarken",16,1.08,19,Senior,Pedophile
"Jerome ,Smith",14,0.14,37,Sophmore,Bio med
"William,Emma",17,1.1,13,Freshman,Pedophile
"Mac,Kurtis",19,3.91,27,Junior,Pedophile
"John ,Alakas",16,1.83,7,Sophmore,Engineering
"Christopher,Seeman",19,0.08,24,Junior,Math
"Joe,Kurtis",14,2.72,36,Junior,Early College
"John ,Seeman",15,2.19,24,Senior,Early College
"Richard,Emma",18,1.8,3,Sophmore,Marketing
"James ,Smith",18,0.49,44,Senior,Marketing
"Richard,Janus",18,2.89,54,Junior,Athletics
"Ben ,Seeman",16,4.35,53,Senior,culinary
"Mary ,Dover",16,3.47,18,Freshman,Buisness
"William,Emma",18,0.64,35,Senior,Marketing
"Thomas,Smith",14,0.96,56,Freshman,Computer Science
"Joe,Anderson",18,3.69,21,Senior,Marketing
"Christopher,Anderson",19,0.09,20,Freshman,culinary
"Christopher,Tarken",18,0.17,53,Junior,Pervert
"Mohammed,Kurtis",14,2.43,44,Sophmore,Buisness
"Jerome ,Smith",18,3.62,22,Freshman,Early childhood Education
"Jerome ,Kurtis",19,0.63,16,Junior,criminal justice
"William,Anderson",17,1.82,1,Senior,criminal justice
"Thomas,Kurtis",15,3.17,0,Junior,Computer Science
"David,Kurtis",15,0.72,13,Freshman,Music
"Robert,Dover",15,3.55,33,Junior,Pervert
"Richard,Smith",17,3.56,40,Junior,Music
"Jessica ,Janus",16,2.39,39,Junior,Computer Science
"James ,Janus",19,3.56,53,Sophmore,Buisness
"Hugh ,Janus",14,3.39,13,Senior,Math
"Mary ,Smith",17,2.98,56,Sophmore,Pedophile
"Mary ,Emma",18,1.15,60,Sophmore,Pervert
"James ,Smith",18,3.14,54,Freshman,Early childhood Education
"Richard,Kurtis",16,1.7,54,Senior,Pervert
"Jessica ,Janus",18,3.55,12,Sophmore,Buisness
"Mohammed,Tarken",16,3.22,4,Freshman,criminal justice
"Hugh ,Janus",18,2.23,40,Sophmore,Bio med
"Ben ,Kurtis",17,0.07,47,Junior,Early childhood Education
"Mary ,Kurtis",17,0.68,59,Senior,Marketing
"Richard,Emma",14,4.41,2,Freshman,Early childhood Education
"David,Smith",14,0.7,0,Senior,Pedophile
"Jessica ,Seeman",15,1.58,51,Senior,Buisness
"Mohammed,Tarken",15,3.09,44,Senior,Computer Science
"David,Anderson",14,4.18,19,Freshman,Marketing
"Robert,Emma",19,4.01,45,Freshman,Bio med
"Joe,Smith",19,1.57,51,Senior,Computer Science
"William,Alakas",15,1.77,54,Senior,Pedophile
"Mary ,Emma",15,1.0,23,Senior,Bio med
"Ben ,Janus",18,3.53,20,Senior,Math
"Jerome ,Smith",15,3.53,5,Freshman,Music
"William,Janus",17,2.93,17,Senior,Music
"Robert,Dirkas",16,1.75,20,Junior,Pedophile
"James ,Kurtis",16,4.03,24,Senior,Pervert
"Joe,Dirkas",16,2.18,49,Senior,Pedophile
"David,Janus",19,0.8,56,Freshman,Computer Science
"Jerome ,Alakas",15,2.11,60,Sophmore,criminal justice
"Ben ,Dirkas",18,0.09,52,Senior,Computer Science
"Hugh ,Anderson",19,0.83,56,Sophmore,Early childhood Education
"Jessica ,Janus",14,2.01,2,Senior,culinary
"Christopher,Dirkas",19,2.4,41,Senior,Athletics
"John ,Dover",18,1.02,9,Sophmore,Pervert
"Robert,Anderson",17,0.31,24,Freshman,Engineering
"Thomas,Seeman",15,3.79,59,Sophmore,culinary
"Joe,Seeman",14,2.63,24,Freshman,Music
"Carman ,Janus",17,1.77,28,Senior,Pervert
"Jessica ,Kurtis",14,1.94,59,Junior,Buisness
"Christopher,Smith",16,2.02,48,Junior,Music
"Mohammed,Dover",15,0.54,4,Senior,culinary
"Thomas,Alakas",17,0.47,18,Sophmore,Buisness
"Joe,Smith",19,1.7,20,Freshman,Buisness
"Robert,Tarken",18,1.98,41,Sophmore,Pedophile
"Christopher,Emma",19,2.2,57,Senior,Music
"John ,Alakas",16,1.43,29,Junior,Computer Science
"Christopher,Dover",16,3.73,42,Junior,Bio med
"Mary ,Seeman",18,2.69,57,Freshman,Bio med
"Jessica ,Alakas",16,1.71,32,Senior,culinary
"Mary ,Emma",15,0.66,59,Sophmore,Music
"Mac,Kurtis",16,1.69,8,Freshman,Math
"Hugh ,Dover",16,4.39,36,Junior,Computer Science
"Christopher,Anderson",15,3.81,17,Junior,culinary
"David,Dover",19,0.59,4,Freshman,Engineering
"Robert,Kurtis",16,2.54,5,Senior,Math
"David,Anderson",18,2.07,34,Sophmore,Pervert
"Richard,Dover",19,1.45,28,Sophmore,Engineering
"Mac,Seeman",16,3.29,33,Freshman,Pedophile
"Christopher,Dirkas",15,4.17,36,Senior,Computer Science
"Mary ,Seeman",17,2.24,32,Junior,Pervert
"David,Dirkas",18,3.85,51,Junior,Buisness
"Hugh ,Dirkas",17,0.52,50,Sophmore,Bio med
"Jerome ,Dover",17,1.67,44,Freshman,Math
"Mohammed,Seeman",18,2.94,7,Freshman,criminal justice
"Hugh ,Dover",16,3.29,10,Freshman,Engineering
"Ben ,Dirkas",16,2.52,56,Sophmore,culinary
"Robert,Emma",16,1.25,45,Senior,Bio med
"James ,Seeman",19,0.8,57,Freshman,Engineering
"Robert,Kurtis",14,2.59,23,Senior,Pedophile
"Thomas,Kurtis",16,0.11,34,Senior,Music
"David,Alakas",14,0.33,1,Junior,Bio med
"James ,Smith",15,0.93,33,Freshman,culinary
"Thomas,Kurtis",18,4.36,4,Sophmore,Computer Science
"Mary ,Dirkas",15,2.22,49,Freshman,Buisness
"Ben ,Tarken",18,0.99,25,Freshman,Music
"Joe,Smith",15,1.94,44,Junior,Math
"Thomas,Dover",18,3.08,50,Junior,Pervert
"William,Smith",16,1.68,19,Senior,Bio med
"Jessica ,Seeman",18,1.54,28,Senior,Pervert
"Carman ,Tarken",16,1.48,9,Sophmore,Early College
"Ben ,Kurtis",17,1.81,53,Senior,Buisness
"Jerome ,Tarken",18,2.68,2,Senior,Buisness
"Jessica ,Tarken",16,3.74,19,Junior,Engineering
"Jessica ,Emma",16,2.0,57,Senior,criminal justice
"Joe,Alakas",14,2.51,50,Junior,Bio med
"James ,Anderson",18,1.51,20,Senior,Marketing
"William,Kurtis",18,3.92,52,Sophmore,Music
"Jessica ,Anderson",18,4.48,28,Sophmore,criminal justice
"Joe,Janus",14,0.39,13,Sophmore,Computer Science
"Hugh ,Dirkas",17,3.17,47,Senior,culinary
"Christopher,Dover",14,2.67,4,Freshman,Computer Science
"Robert,Kurtis",14,2.71,36,Junior,Pedophile
"William,Anderson",15,1.88,52,Junior,criminal justice
"Ben ,Kurtis",16,1.62,43,Sophmore,Bio med
"Richard,Dover",17,0.45,40,Junior,Buisness
